session_id,station_id,session_date,energy_consumed_kwh,duration_min,cost
66,1,2025-08-28 13:20:11,32.82,56.85,9.2
67,1,2025-07-21 13:03:45,32.89,59.27,9.22
68,1,2025-07-29 10:46:47,52.2,56.75,14.05
69,1,2025-11-05 01:56:12,43.67,24.55,11.92
70,1,2025-06-22 07:10:37,66.96,37.88,17.74
71,1,2025-10-18 10:19:52,30.12,55.73,8.53
72,1,2025-10-28 23:44:51,64.45,54.1,17.11
73,1,2025-10-12 02:31:47,31.47,35.41,8.87
74,1,2025-11-14 13:22:46,20.25,23.37,6.06
75,1,2025-09-19 07:53:52,36.38,31.53,10.1
76,1,2025-09-03 05:45:06,35.07,49.79,9.77
77,1,2025-06-25 23:09:13,74.47,44.48,19.62
78,1,2025-08-20 06:11:26,51.4,27.15,13.85
79,1,2025-10-19 22:03:57,48.7,52.04,13.18
80,1,2025-08-15 21:57:34,74.05,58.02,19.51
81,1,2025-09-21 19:54:02,68.36,55.61,18.09
82,1,2025-06-23 02:51:35,66.58,53.71,17.65
83,1,2025-09-09 11:29:52,52.96,51.69,14.24
84,1,2025-11-12 22:47:51,61.94,18.45,16.48
85,1,2025-08-24 02:23:16,48.47,25.25,13.12
86,1,2025-07-18 00:04:47,31.67,46.6,8.92
87,1,2025-07-23 05:53:25,33.07,34.47,9.27
88,1,2025-09-06 09:32:18,55.16,47.61,14.79
89,1,2025-08-26 04:28:55,74.71,42.51,19.68
90,1,2025-06-14 23:11:22,31.92,43.0,8.98
91,1,2025-09-10 05:21:32,26.92,47.0,7.73
92,1,2025-10-12 00:31:04,52.47,58.33,14.12
93,1,2025-05-28 19:34:17,24.75,51.83,7.19
94,1,2025-07-31 15:18:50,25.62,37.57,7.41
95,1,2025-08-25 23:31:27,72.27,22.37,19.07
96,1,2025-11-13 14:57:04,34.51,26.75,9.63
97,1,2025-06-04 00:23:27,68.68,53.11,18.17
98,1,2025-11-08 03:49:02,54.47,36.88,14.62
99,1,2025-10-14 07:20:59,38.87,54.1,10.72
100,1,2025-11-13 17:34:40,71.07,36.85,18.77
101,1,2025-08-19 03:32:11,62.14,19.14,16.54
102,1,2025-11-14 08:28:33,25.93,21.19,7.48
103,1,2025-07-02 09:07:40,20.14,31.24,6.04
104,1,2025-06-16 10:14:23,28.98,18.57,8.25
105,1,2025-11-08 09:17:59,61.13,32.78,16.28
106,1,2025-11-10 09:20:41,32.11,59.65,9.03
107,1,2025-05-27 22:53:29,41.79,37.0,11.45
108,1,2025-11-01 23:48:54,25.54,50.76,7.39
109,1,2025-10-31 22:40:57,20.78,41.4,6.2
110,1,2025-07-18 17:50:21,58.38,30.6,15.6
111,1,2025-07-16 14:56:46,59.87,24.94,15.97
112,1,2025-07-13 08:08:50,57.25,15.98,15.31
113,1,2025-09-15 00:09:44,73.89,32.41,19.47
114,1,2025-09-03 09:24:41,31.04,56.43,8.76
115,1,2025-10-02 19:26:13,48.25,35.97,13.06
116,1,2025-07-05 12:43:55,60.76,22.85,16.19
117,1,2025-11-03 16:34:36,40.01,39.39,11.0
118,1,2025-11-01 13:27:07,50.74,25.04,13.68
119,1,2025-07-27 10:25:22,60.58,41.23,16.14
120,1,2025-08-09 10:10:41,21.47,51.03,6.37
121,1,2025-08-13 20:23:43,29.62,30.97,8.4
122,1,2025-11-07 05:44:25,50.74,34.27,13.69
123,1,2025-11-08 19:28:27,22.06,30.08,6.51
124,1,2025-08-21 08:59:39,47.27,50.04,12.82
125,1,2025-10-14 07:26:44,31.33,27.86,8.83
126,1,2025-10-09 17:37:07,20.2,37.41,6.05
127,1,2025-08-06 12:48:03,29.04,19.98,8.26
128,1,2025-05-27 19:45:58,55.62,53.27,14.91
129,1,2025-09-16 02:30:07,24.12,29.65,7.03
130,1,2025-10-25 05:17:48,53.11,59.96,14.28
131,1,2025-06-15 12:02:25,73.47,46.05,19.37
132,1,2025-10-16 08:08:10,55.84,53.88,14.96
133,1,2025-08-01 19:55:16,31.96,21.79,8.99
134,1,2025-09-19 16:45:25,24.41,26.32,7.1
135,1,2025-07-01 17:32:51,74.32,57.81,19.58
136,1,2025-10-29 04:56:04,36.18,15.74,10.04
137,1,2025-07-04 11:43:11,31.84,40.31,8.96
138,1,2025-07-16 20:17:17,62.16,33.77,16.54
139,1,2025-07-11 19:31:30,59.87,43.0,15.97
140,1,2025-08-04 10:44:10,59.48,21.04,15.87
141,1,2025-11-10 22:51:52,42.47,58.59,11.62
142,1,2025-09-17 11:22:57,62.6,33.1,16.65
143,1,2025-06-13 15:06:24,31.67,40.33,8.92
144,1,2025-06-06 16:08:39,63.74,39.63,16.93
145,1,2025-10-20 10:52:56,27.44,28.43,7.86
146,1,2025-07-25 03:37:16,60.6,50.98,16.15
147,1,2025-08-21 23:43:21,31.75,33.07,8.94
148,1,2025-07-28 02:38:30,38.8,53.83,10.7
149,1,2025-07-31 08:32:09,51.52,36.59,13.88
150,1,2025-07-08 14:06:19,58.38,17.16,15.59
151,1,2025-10-03 13:44:37,64.22,16.32,17.05
152,1,2025-05-23 04:34:17,71.47,31.88,18.87
153,1,2025-07-07 19:55:29,54.93,32.39,14.73
154,1,2025-09-25 17:55:53,29.23,49.11,8.31
155,1,2025-07-22 02:20:45,64.1,34.47,17.03
156,1,2025-10-06 23:05:45,60.29,25.9,16.07
157,1,2025-08-03 10:12:54,57.29,40.06,15.32
158,1,2025-10-21 08:18:26,36.42,19.48,10.11
159,1,2025-10-02 09:55:43,63.93,15.59,16.98
160,1,2025-08-19 04:26:07,42.56,45.96,11.64
161,1,2025-09-05 19:39:09,43.52,31.81,11.88
162,1,2025-10-30 18:11:03,21.97,35.37,6.49
163,2,2025-07-18 09:23:43,18.45,196.92,3.69
164,2,2025-07-30 04:22:17,9.74,165.2,1.95
165,2,2025-09-24 14:03:23,16.37,170.63,3.27
166,2,2025-07-11 14:15:21,10.89,176.07,2.18
167,2,2025-11-12 19:12:47,15.6,129.97,3.12
168,2,2025-07-10 05:06:42,24.57,113.14,4.91
169,2,2025-11-10 11:28:30,20.99,188.46,4.2
170,2,2025-07-15 22:35:16,21.69,131.52,4.34
171,2,2025-06-14 07:12:19,14.85,154.36,2.97
172,2,2025-06-07 13:36:08,25.79,137.15,5.16
173,2,2025-07-03 17:12:43,16.13,63.63,3.23
174,2,2025-07-21 07:02:54,27.91,167.92,5.58
175,2,2025-09-23 17:30:11,25.62,68.87,5.12
176,2,2025-08-27 15:10:19,23.44,189.61,4.69
177,2,2025-07-15 00:39:01,20.46,62.78,4.09
178,2,2025-11-12 20:14:23,20.15,139.89,4.03
179,2,2025-08-26 07:47:34,23.88,55.21,4.78
180,2,2025-05-31 04:23:05,8.39,40.74,1.68
181,2,2025-10-05 19:12:13,9.57,151.25,1.91
182,2,2025-05-20 18:47:57,8.37,180.07,1.67
183,2,2025-09-13 04:51:57,20.93,102.61,4.19
184,2,2025-06-27 22:53:04,16.37,106.82,3.27
185,2,2025-08-09 01:20:55,11.83,118.94,2.37
186,2,2025-07-17 22:26:12,21.67,67.88,4.33
187,2,2025-08-06 04:37:44,13.32,57.27,2.66
188,2,2025-05-20 15:19:33,21.56,72.18,4.31
189,2,2025-06-25 08:14:14,24.18,105.61,4.84
190,2,2025-11-07 04:30:17,12.64,151.66,2.53
191,2,2025-06-27 21:09:15,25.11,92.41,5.02
192,2,2025-09-20 18:27:25,15.62,55.02,3.12
193,2,2025-06-15 16:39:29,15.93,114.26,3.19
194,2,2025-08-13 11:16:53,21.18,155.26,4.24
195,2,2025-09-12 04:13:29,23.78,191.4,4.76
196,2,2025-06-30 23:02:15,19.69,75.83,3.94
197,2,2025-06-02 23:03:22,14.49,62.17,2.9
198,2,2025-09-10 20:42:17,8.3,78.09,1.66
199,2,2025-09-02 19:57:37,15.08,99.07,3.02
200,2,2025-06-13 21:04:09,23.11,60.78,4.62
201,2,2025-10-25 06:14:20,25.16,119.6,5.03
202,2,2025-09-30 09:51:15,16.51,50.96,3.3
203,2,2025-05-27 12:50:54,11.99,184.93,2.4
204,2,2025-09-06 01:16:28,10.6,47.51,2.12
205,2,2025-11-12 22:06:22,17.35,189.38,3.47
206,2,2025-06-27 01:48:55,9.95,129.35,1.99
207,2,2025-09-30 20:53:47,16.64,175.47,3.33
208,2,2025-07-12 23:45:43,12.75,145.13,2.55
209,2,2025-10-05 08:11:17,16.15,156.14,3.23
210,2,2025-10-06 06:43:00,29.85,75.46,5.97
211,2,2025-05-31 21:01:02,24.58,144.14,4.92
212,2,2025-07-01 17:41:53,18.34,119.01,3.67
213,2,2025-05-23 22:33:41,24.64,126.61,4.93
214,2,2025-10-10 12:07:33,12.76,191.13,2.55
215,2,2025-10-01 04:29:04,18.8,150.81,3.76
216,2,2025-08-11 18:33:57,20.91,147.9,4.18
217,2,2025-09-13 16:28:10,20.29,113.15,4.06
218,2,2025-10-21 09:02:57,22.81,102.87,4.56
219,2,2025-06-29 08:52:08,18.17,114.92,3.63
220,2,2025-08-20 20:56:50,27.73,169.29,5.55
221,2,2025-06-22 13:45:34,18.76,79.86,3.75
222,2,2025-08-13 10:37:10,20.97,51.67,4.19
223,2,2025-08-14 11:27:34,21.4,102.88,4.28
224,2,2025-07-07 08:32:25,8.73,81.8,1.75
225,2,2025-05-31 12:54:39,21.92,77.69,4.38
226,2,2025-08-02 11:31:30,29.12,61.96,5.82
227,2,2025-11-10 19:55:49,18.64,66.9,3.73
228,2,2025-05-19 14:44:58,14.54,149.84,2.91
229,2,2025-06-20 17:52:21,29.04,93.69,5.81
230,2,2025-08-20 02:36:06,22.99,150.87,4.6
231,2,2025-06-18 06:12:19,25.43,95.1,5.09
232,2,2025-09-23 14:29:25,27.87,92.31,5.57
233,2,2025-07-10 20:31:09,16.92,50.59,3.38
234,2,2025-05-28 19:16:55,21.55,141.62,4.31
235,2,2025-07-25 06:51:15,20.07,128.8,4.01
236,2,2025-08-03 07:31:35,21.4,193.37,4.28
237,2,2025-07-22 12:37:06,13.03,146.56,2.61
238,2,2025-10-19 16:46:37,26.59,186.49,5.32
239,2,2025-06-25 09:29:40,25.07,95.13,5.01
240,2,2025-08-12 11:48:26,15.49,164.93,3.1
241,2,2025-10-05 20:10:56,24.34,133.31,4.87
242,2,2025-09-20 02:43:01,13.62,146.75,2.72
243,2,2025-07-15 05:41:47,19.23,162.84,3.85
244,2,2025-09-18 15:31:27,23.01,193.19,4.6
245,2,2025-07-14 01:14:59,16.78,124.29,3.36
246,2,2025-07-14 20:26:24,23.8,107.94,4.76
247,2,2025-08-27 07:12:36,20.78,162.85,4.16
248,2,2025-07-29 21:44:52,10.03,181.39,2.01
249,2,2025-06-14 19:26:37,28.64,145.07,5.73
250,2,2025-11-10 01:45:16,14.61,150.09,2.92
251,2,2025-08-16 00:51:17,21.44,110.79,4.29
252,2,2025-09-19 08:14:28,14.8,66.81,2.96
253,2,2025-08-16 09:12:45,29.23,54.93,5.85
254,2,2025-06-02 22:10:21,15.07,83.67,3.01
255,2,2025-06-21 00:03:28,11.05,171.32,2.21
256,2,2025-08-15 01:08:45,27.12,83.38,5.42
257,2,2025-06-28 23:30:22,24.35,43.55,4.87
258,2,2025-06-17 04:21:04,17.21,149.98,3.44
259,2,2025-10-26 03:01:31,17.85,71.82,3.57
260,2,2025-10-24 08:12:06,29.91,44.83,5.98
261,2,2025-08-25 21:51:00,16.58,86.45,3.32
262,2,2025-07-05 07:03:07,13.79,60.8,2.76
263,2,2025-06-16 05:42:45,8.42,78.1,1.68
264,2,2025-08-12 14:31:02,23.02,116.15,4.6
265,2,2025-06-10 13:05:02,8.99,114.68,1.8
266,2,2025-05-19 06:20:25,12.19,98.73,2.44
267,2,2025-06-06 15:54:38,16.58,49.09,3.32
268,2,2025-06-26 22:39:22,25.11,198.81,5.02
269,2,2025-09-26 07:51:47,13.6,190.85,2.72
270,2,2025-05-30 11:44:30,29.88,142.13,5.98
271,2,2025-06-27 02:08:52,23.68,46.18,4.74
272,2,2025-06-23 04:04:27,24.75,148.32,4.95
273,2,2025-06-04 04:30:08,14.33,88.55,2.87
274,2,2025-09-27 06:00:39,21.75,165.97,4.35
275,2,2025-10-02 17:25:27,17.37,64.82,3.47
276,2,2025-06-14 15:48:55,24.1,55.31,4.82
277,2,2025-09-25 07:24:24,17.42,196.88,3.48
278,2,2025-07-30 06:44:31,8.04,192.58,1.61
279,2,2025-07-24 22:54:24,8.67,102.25,1.73
280,2,2025-10-03 16:12:19,13.63,154.85,2.73
281,2,2025-09-14 10:29:23,13.5,62.48,2.7
282,2,2025-10-26 12:54:53,8.82,146.38,1.76
283,2,2025-07-29 04:09:52,9.89,65.95,1.98
284,2,2025-08-19 03:04:44,13.31,128.71,2.66
285,2,2025-06-10 13:10:06,9.31,197.41,1.86
286,2,2025-08-17 00:50:46,9.28,49.54,1.86
287,2,2025-08-06 12:14:25,23.79,167.04,4.76
288,2,2025-05-20 17:23:53,17.89,78.94,3.58
289,2,2025-07-24 00:56:19,12.69,136.37,2.54
290,2,2025-11-13 15:14:24,9.12,52.62,1.82
291,2,2025-07-22 05:23:53,18.98,144.21,3.8
292,2,2025-06-16 09:42:22,28.85,53.55,5.77
293,2,2025-08-06 09:32:44,10.23,150.61,2.05
294,2,2025-06-09 21:45:49,13.09,135.24,2.62
295,2,2025-09-14 06:12:11,25.33,44.03,5.07
296,2,2025-07-27 19:07:01,21.37,48.83,4.27
297,2,2025-06-05 18:48:50,21.73,70.37,4.35
298,2,2025-08-25 09:28:32,10.56,92.26,2.11
299,2,2025-06-05 13:18:27,24.65,105.0,4.93
300,2,2025-06-28 06:16:34,13.36,195.13,2.67
301,2,2025-06-13 04:50:27,21.0,132.51,4.2
302,2,2025-10-30 01:33:55,8.66,159.81,1.73
303,2,2025-08-28 22:43:07,20.07,63.25,4.01
304,2,2025-06-26 04:59:47,26.01,134.9,5.2
305,2,2025-07-29 21:38:05,12.47,159.96,2.49
306,2,2025-09-15 07:47:57,15.15,130.97,3.03
307,2,2025-09-21 19:41:46,18.8,138.55,3.76
308,2,2025-07-24 09:07:10,20.28,167.12,4.06
309,2,2025-07-18 08:46:08,9.65,55.57,1.93
310,2,2025-09-21 13:13:23,29.96,61.45,5.99
311,2,2025-11-14 01:35:07,28.78,199.82,5.76
312,2,2025-07-03 08:49:31,15.92,111.19,3.18
313,2,2025-05-24 11:02:38,21.88,88.35,4.38
314,2,2025-08-09 20:00:15,16.35,59.71,3.27
315,2,2025-08-03 02:22:11,10.7,101.38,2.14
316,2,2025-09-27 21:37:22,10.39,174.34,2.08
317,2,2025-09-22 05:51:46,24.74,51.98,4.95
318,2,2025-08-10 19:19:14,9.82,168.95,1.96
319,2,2025-11-13 12:56:49,18.05,46.44,3.61
320,2,2025-10-13 05:26:22,19.08,151.63,3.82
321,2,2025-10-27 01:20:28,10.35,50.77,2.07
322,2,2025-08-07 00:39:04,26.04,143.09,5.21
323,2,2025-07-06 05:00:50,29.44,136.48,5.89
324,2,2025-08-27 13:55:16,13.07,90.47,2.61
325,2,2025-10-12 21:44:39,14.86,178.54,2.97
326,2,2025-08-25 12:01:57,28.68,146.49,5.74
327,2,2025-08-10 11:59:53,17.47,92.58,3.49
328,2,2025-06-20 09:57:57,19.66,129.19,3.93
329,2,2025-10-10 00:44:24,12.96,77.1,2.59
330,2,2025-09-11 17:32:47,16.58,76.41,3.32
331,2,2025-08-24 00:44:12,16.47,197.09,3.29
332,2,2025-07-18 23:49:23,11.75,188.4,2.35
333,2,2025-10-30 09:02:51,19.43,101.64,3.89
334,2,2025-05-21 09:02:16,15.9,50.27,3.18
335,2,2025-06-15 22:49:01,25.16,160.77,5.03
336,2,2025-09-09 04:01:44,29.28,120.23,5.86
337,2,2025-07-28 11:25:20,18.23,158.22,3.65
338,2,2025-06-24 04:34:21,25.62,99.91,5.12
339,2,2025-11-06 19:03:32,22.24,167.97,4.45
340,2,2025-05-23 03:09:58,26.47,168.19,5.29
341,2,2025-10-24 19:17:18,8.42,143.62,1.68
342,2,2025-11-07 01:02:09,21.99,196.08,4.4
343,2,2025-07-25 02:37:36,16.44,165.57,3.29
344,2,2025-07-01 09:16:01,19.02,62.23,3.8
345,3,2025-07-03 19:38:49,33.49,36.22,6.7
346,3,2025-07-11 04:08:47,61.8,24.58,12.36
347,3,2025-10-20 11:41:48,73.77,58.55,14.75
348,3,2025-06-10 02:46:40,67.64,47.1,13.53
349,3,2025-11-09 20:41:08,42.62,46.58,8.52
350,3,2025-06-05 06:30:34,63.15,26.3,12.63
351,3,2025-10-08 02:51:08,68.5,53.34,13.7
352,3,2025-08-04 17:45:34,25.59,41.19,5.12
353,3,2025-10-31 04:57:47,36.01,22.35,7.2
354,3,2025-09-10 11:22:24,48.19,32.22,9.64
355,3,2025-09-12 17:18:48,64.08,48.83,12.82
356,3,2025-10-01 17:56:16,32.27,17.68,6.45
357,3,2025-05-29 20:20:15,69.24,49.11,13.85
358,3,2025-05-24 11:04:13,71.13,21.0,14.23
359,3,2025-06-25 20:46:35,53.64,44.74,10.73
360,3,2025-06-01 09:45:25,23.75,33.99,4.75
361,3,2025-10-02 01:40:09,25.77,52.13,5.15
362,3,2025-06-04 13:19:58,55.24,43.53,11.05
363,3,2025-06-01 05:59:43,62.01,19.43,12.4
364,3,2025-09-04 05:51:48,54.78,33.61,10.96
365,3,2025-06-15 09:17:27,65.6,37.05,13.12
366,3,2025-08-06 21:21:02,48.61,49.65,9.72
367,3,2025-10-15 08:53:27,56.81,28.19,11.36
368,3,2025-08-28 17:33:14,25.09,31.46,5.02
369,3,2025-08-04 11:31:58,21.95,55.2,4.39
370,3,2025-08-12 05:08:07,40.65,54.9,8.13
371,3,2025-11-07 09:41:11,28.0,46.94,5.6
372,3,2025-07-21 08:26:55,56.87,48.3,11.37
373,3,2025-08-20 21:28:39,43.36,59.41,8.67
374,3,2025-08-17 03:19:34,26.21,35.09,5.24
375,3,2025-07-31 02:40:42,46.24,44.33,9.25
376,3,2025-06-25 14:20:03,37.26,25.34,7.45
377,3,2025-06-01 03:52:16,56.06,57.29,11.21
378,3,2025-09-13 10:19:27,63.28,36.1,12.66
379,3,2025-05-28 14:10:15,58.28,48.54,11.66
380,3,2025-08-28 01:11:12,71.85,45.44,14.37
381,3,2025-11-03 22:22:34,74.49,23.18,14.9
382,3,2025-06-09 19:41:53,28.19,52.13,5.64
383,3,2025-10-05 09:24:37,30.02,22.27,6.0
384,3,2025-07-17 08:43:52,36.08,54.01,7.22
385,3,2025-11-05 18:00:33,51.15,29.76,10.23
386,3,2025-10-24 09:41:23,33.78,48.99,6.76
387,3,2025-05-26 12:59:26,23.17,49.93,4.63
388,3,2025-09-07 05:28:21,30.45,25.31,6.09
389,3,2025-06-20 02:41:36,55.76,33.29,11.15
390,3,2025-08-04 18:52:37,32.38,21.89,6.48
391,3,2025-06-06 09:44:02,63.73,20.58,12.75
392,3,2025-08-15 18:22:53,45.95,49.01,9.19
393,3,2025-05-25 16:08:12,38.92,26.28,7.78
394,3,2025-07-27 10:05:32,69.45,29.36,13.89
395,3,2025-10-28 21:39:39,63.78,57.62,12.76
396,3,2025-06-23 03:08:58,61.15,59.72,12.23
397,3,2025-10-03 18:48:03,31.03,39.92,6.21
398,3,2025-09-04 06:47:40,27.69,57.73,5.54
399,3,2025-07-03 16:55:11,48.81,17.99,9.76
400,3,2025-10-04 17:02:41,73.75,51.45,14.75
401,3,2025-07-29 19:11:09,64.27,34.72,12.85
402,3,2025-07-18 11:31:01,73.17,37.97,14.63
403,3,2025-11-01 23:24:40,20.86,35.64,4.17
404,3,2025-08-19 08:22:11,34.25,47.21,6.85
405,3,2025-09-16 00:17:26,45.49,52.51,9.1
406,3,2025-06-08 20:33:28,65.25,29.53,13.05
407,3,2025-08-13 19:42:58,57.06,42.04,11.41
408,3,2025-06-13 20:54:29,34.74,16.39,6.95
409,3,2025-06-26 13:28:53,47.13,32.65,9.43
410,3,2025-06-16 16:17:32,23.2,21.93,4.64
411,3,2025-08-05 08:05:22,66.92,56.77,13.38
412,3,2025-08-14 09:07:24,74.86,58.64,14.97
413,3,2025-08-19 00:18:39,39.35,33.65,7.87
414,3,2025-09-06 10:00:16,31.61,45.46,6.32
415,3,2025-09-23 03:41:59,58.91,59.32,11.78
416,3,2025-06-04 06:11:35,41.19,33.52,8.24
417,3,2025-07-02 14:46:56,62.63,41.66,12.53
418,3,2025-05-26 23:00:15,27.07,39.39,5.41
419,3,2025-06-11 18:06:53,74.39,34.39,14.88
420,3,2025-08-23 19:12:59,65.46,21.85,13.09
421,3,2025-11-07 23:46:40,36.32,17.74,7.26
422,3,2025-05-22 05:41:29,25.83,58.74,5.17
423,3,2025-08-02 07:46:54,42.75,24.69,8.55
424,3,2025-09-01 04:36:14,60.53,45.73,12.11
425,3,2025-10-18 04:33:59,20.67,45.5,4.13
426,3,2025-10-22 19:56:23,68.0,44.52,13.6
427,3,2025-11-07 14:09:30,51.65,26.11,10.33
428,3,2025-10-18 00:42:40,52.71,25.25,10.54
429,3,2025-08-10 01:02:32,71.91,29.7,14.38
430,3,2025-05-20 07:30:40,67.71,19.9,13.54
431,3,2025-10-14 00:08:36,44.0,41.84,8.8
432,3,2025-08-31 15:49:29,66.15,30.73,13.23
433,3,2025-10-05 13:31:12,67.35,37.11,13.47
434,3,2025-10-09 16:46:13,50.21,42.6,10.04
435,3,2025-11-04 11:30:31,45.75,34.8,9.15
436,3,2025-07-30 09:22:26,28.68,48.36,5.74
437,3,2025-08-17 00:27:52,38.7,55.88,7.74
438,3,2025-05-28 16:09:24,52.22,51.94,10.44
439,3,2025-08-31 00:45:28,53.13,27.83,10.63
440,3,2025-08-28 17:40:44,38.0,29.56,7.6
441,3,2025-07-04 03:34:37,41.81,26.46,8.36
442,3,2025-08-01 13:35:09,30.44,27.72,6.09
443,3,2025-07-11 10:44:18,56.67,21.99,11.33
444,3,2025-08-02 18:24:33,52.32,34.26,10.46
445,3,2025-07-16 16:39:01,39.25,37.15,7.85
446,3,2025-06-03 11:23:36,74.96,42.74,14.99
447,3,2025-10-29 00:52:41,58.53,29.57,11.71
448,3,2025-05-26 15:22:23,24.46,16.9,4.89
449,3,2025-11-09 04:16:24,26.93,26.5,5.39
450,3,2025-10-18 22:19:41,28.6,48.09,5.72
451,3,2025-05-23 03:50:23,54.96,50.56,10.99
452,3,2025-09-14 08:36:41,74.63,45.66,14.93
453,3,2025-05-31 11:03:16,46.83,48.85,9.37
454,3,2025-07-09 15:00:51,49.12,34.3,9.82
455,3,2025-08-02 23:03:13,56.07,21.8,11.21
456,3,2025-05-21 15:51:14,58.89,55.19,11.78
457,3,2025-05-23 04:29:17,48.47,40.95,9.69
458,3,2025-06-25 20:27:11,64.97,55.43,12.99
459,3,2025-07-16 16:03:12,50.91,24.99,10.18
460,3,2025-08-21 08:52:31,63.02,52.34,12.6
461,3,2025-05-25 11:46:50,74.0,33.35,14.8
462,3,2025-07-12 00:46:33,20.81,36.58,4.16
463,3,2025-07-01 21:00:45,40.6,52.43,8.12
464,3,2025-06-28 20:14:22,26.72,54.83,5.34
465,3,2025-08-18 00:07:12,61.68,48.98,12.34
466,3,2025-08-09 16:55:49,56.96,50.78,11.39
467,3,2025-05-29 21:24:59,32.39,55.47,6.48
468,3,2025-10-09 07:29:59,21.86,42.89,4.37
469,3,2025-08-22 17:45:05,36.13,22.43,7.23
470,3,2025-07-23 23:59:53,27.49,32.96,5.5
471,3,2025-07-30 19:12:28,66.07,33.27,13.21
472,3,2025-07-01 21:58:56,45.83,53.99,9.17
473,3,2025-08-01 19:43:55,71.04,57.38,14.21
474,3,2025-06-15 18:05:50,71.28,43.1,14.26
475,3,2025-10-02 21:07:27,65.64,21.59,13.13
476,3,2025-09-17 02:41:46,21.79,41.34,4.36
477,3,2025-08-03 23:26:36,43.58,33.82,8.72
478,3,2025-10-13 14:09:34,47.07,41.77,9.41
479,3,2025-10-12 22:29:24,49.34,21.07,9.87
480,3,2025-07-02 02:26:22,63.27,18.86,12.65
